@relation Sax_prediction-2011-06-30T15:40:59-06:00-weka.filters.unsupervised.attribute.Remove-R1

@attribute n_term numeric
@attribute c_term numeric
@attribute y_num numeric
@attribute c_num numeric
@attribute k_num numeric
@attribute h_num numeric
@attribute r_num numeric
@attribute d_num numeric
@attribute e_num numeric
@attribute u_num numeric
@attribute polar_num numeric
@attribute hydrophobic_num numeric
@attribute pi numeric
@attribute charge_at_2.0 numeric
@attribute charge_at_2.5 numeric
@attribute charge_at_3.0 numeric
@attribute charge_at_3.5 numeric
@attribute charge_at_4.0 numeric
@attribute charge_at_4.5 numeric
@attribute charge_at_5.0 numeric
@attribute charge_at_5.5 numeric
@attribute charge_at_6.0 numeric
@attribute charge_at_6.5 numeric
@attribute charge_at_7.0 numeric
@attribute charge_at_7.5 numeric
@attribute charge_at_8.0 numeric
@attribute charge_at_8.5 numeric
@attribute charge_at_9.0 numeric
@attribute charge_at_9.5 numeric
@attribute charge_at_10.0 numeric
@attribute charge_at_10.5 numeric
@attribute charge_at_11.0 numeric
@attribute charge_at_11.5 numeric
@attribute charge_at_12.0 numeric
@attribute fraction numeric

@data
2.11,8.95,0,0,1,0,0,1,1,0,2,7,3.963867,1.535496,1.205873,0.877961,0.473659,-0.038464,-0.512273,-0.805091,-0.932788,-0.979102,-0.996586,-1.009156,-1.034491,-1.103601,-1.271066,-1.557394,-1.865482,-2.146037,-2.455325,-2.738079,-2.900408,-2.966336,5
1.82,8.95,0,0,2,1,0,0,0,0,4,6,10.551025,3.397742,3.172505,3.060975,3.017309,2.996651,2.971394,2.909633,2.759582,2.498886,2.236552,2.07923,1.994525,1.903134,1.722769,1.414916,1.049468,0.626189,0.061968,-0.484982,-0.803623,-0.933561,5
2.34,9.04,0,0,1,0,2,1,1,0,0,7,9.779053,3.658811,3.325338,2.943342,2.499223,1.970229,1.490547,1.195827,1.067562,1.021196,1.004101,0.992904,0.971725,0.913637,0.76677,0.493704,0.17002,-0.135657,-0.469951,-0.80017,-1.089338,-1.463649,5
2.21,8.95,0,1,1,1,0,1,1,0,2,5,5.18457,2.590994,2.255096,1.902381,1.480126,0.95481,0.457909,0.103673,-0.175021,-0.485633,-0.776787,-0.980219,-1.176658,-1.491542,-1.944216,-2.424936,-2.819489,-3.131027,-3.45053,-3.736558,-3.899926,-3.966183,5
2.21,8.95,0,1,1,1,0,1,1,0,2,5,5.18457,2.590994,2.255096,1.902381,1.480126,0.95481,0.457909,0.103673,-0.175021,-0.485633,-0.776787,-0.980219,-1.176658,-1.491542,-1.944216,-2.424936,-2.819489,-3.131027,-3.45053,-3.736558,-3.899926,-3.966183,5
2.21,8.95,0,1,1,1,0,1,1,0,2,5,5.18457,2.590994,2.255096,1.902381,1.480126,0.95481,0.457909,0.103673,-0.175021,-0.485633,-0.776787,-0.980219,-1.176658,-1.491542,-1.944216,-2.424936,-2.819489,-3.131027,-3.45053,-3.736558,-3.899926,-3.966183,5
2.17,8.95,0,0,3,0,1,0,1,0,3,4,10.824951,4.591037,4.301206,4.075611,3.8937,3.654628,3.364552,3.152335,3.053325,3.01641,3.001822,2.989806,2.963494,2.890436,2.710322,2.384938,1.962752,1.394919,0.568837,-0.263957,-0.801632,-1.149547,5
2.17,9.04,1,0,0,1,2,0,1,0,1,6,9.552002,3.590937,3.30089,3.074612,2.890548,2.64473,2.333906,2.061448,1.813139,1.516623,1.242745,1.082804,1.000483,0.917996,0.752944,0.444927,0.043621,-0.367478,-0.716292,-0.94811,-1.150294,-1.48481,5
2.17,9.04,1,0,0,1,2,0,1,0,1,6,9.552002,3.590937,3.30089,3.074612,2.890548,2.64473,2.333906,2.061448,1.813139,1.516623,1.242745,1.082804,1.000483,0.917996,0.752944,0.444927,0.043621,-0.367478,-0.716292,-0.94811,-1.150294,-1.48481,5
2.17,9.04,1,0,0,1,2,0,1,0,1,6,9.552002,3.590937,3.30089,3.074612,2.890548,2.64473,2.333906,2.061448,1.813139,1.516623,1.242745,1.082804,1.000483,0.917996,0.752944,0.444927,0.043621,-0.367478,-0.716292,-0.94811,-1.150294,-1.48481,5
2.18,9.04,0,1,1,0,2,0,0,0,2,7,11.3479,3.602157,3.323696,3.131451,3.045653,3.014834,3.004525,3.000757,2.998096,2.992646,2.976611,2.928701,2.798198,2.515572,2.090398,1.625141,1.21569,0.879251,0.534812,0.201341,-0.088859,-0.463498,5
2.18,9.04,0,1,1,0,2,0,0,0,3,6,11.3479,3.602157,3.323696,3.131451,3.045653,3.014834,3.004525,3.000757,2.998096,2.992646,2.976611,2.928701,2.798198,2.515572,2.090398,1.625141,1.21569,0.879251,0.534812,0.201341,-0.088859,-0.463498,5
2.36,9.04,0,0,1,0,1,0,2,0,2,8,6.790039,2.684945,2.385156,2.079906,1.765588,1.302516,0.727032,0.304151,0.106907,0.034232,0.008286,-0.005763,-0.027843,-0.086196,-0.233083,-0.505952,-0.82893,-1.132355,-1.459587,-1.768118,-1.99455,-2.21489,5
2.36,9.04,0,0,0,0,1,0,1,0,3,9,6.647461,1.690537,1.402628,1.133147,0.916568,0.662451,0.367098,0.153174,0.053676,0.01679,0.002788,-0.007243,-0.027473,-0.083432,-0.223893,-0.477303,-0.743576,-0.904485,-0.97685,-1.021206,-1.091332,-1.247664,5
2.36,9.04,0,0,0,0,1,0,1,0,3,9,6.647461,1.690537,1.402628,1.133147,0.916568,0.662451,0.367098,0.153174,0.053676,0.01679,0.002788,-0.007243,-0.027473,-0.083432,-0.223893,-0.477303,-0.743576,-0.904485,-0.97685,-1.021206,-1.091332,-1.247664,5
